# Sweep design -- generated by generate_design.py
# campaign=CDP_drucker_prager_unified family=glassy_pc label=Unified Drucker-Prager (semicrystalline + glassy)
# method=morris n_runs=90 n_factors=8 seed=42
# morris r=10 p=4 delta=0.666667 candidates=200 maximin=6574.4193
# active_factors=X,h,w,eps_c,beta,K,mu_eff,phi
#   X in [12, 60] (log) Johnson parameter E* tan(theta) / sigma_y0
#   h in [0, 0.45] (lin) G'Sell orientation hardening exp(h eps^2)
#   w in [-0.35, 0.35] (lin) signed post-yield amplitude / sigma_y0: w < 0 = intrinsic softening (glassy), w > 0 = Voce hardening (semicrystalline)
#   eps_c in [0.05, 0.2] (lin) strain scale of whichever post-yield branch is active (eps_soft if w < 0, 1/b if w > 0)
#   beta in [1, 35] (lin) Drucker-Prager friction angle (1 deg ~ J2)
#   K in [0.778, 1] (lin) flow stress ratio (Abaqus lower bound 0.778)
#   mu_eff in [0.05, 0.45] (lin) effective friction at scratch pressure
#   phi in [0, 0.95] (lin) alpha / mu_eff, pressure-independent fraction
# frozen=b_voce=8.0,b_voce_note=superseded by 1/eps_c in CDP; kept for traceability,dilation_angle_deg=0.0,eps_max=2.5,n_points=60,nu=0.39,rationale_nu=first-order effect absorbed by X = E* tan(theta) / sigma_y0,rationale_sigma_y0=arbitrary: stress-scale invariance makes forces scale exactly,rho=1.1e-09,sigma_y0_ref_MPa=50.0
# geometry: tip_radius=0.2 mm cone_angle=60 deg scratch_depth=-0.04 mm
# NOTE: p_* columns are traceability only; the Abaqus side re-derives
#       them in-kernel from the g_* columns via families.py.
id,campaign,family,method,traj,step,moved,sign,u_X,u_h,u_w,u_eps_c,u_beta,u_K,u_mu_eff,u_phi,g_X,g_h,g_w,g_eps_c,g_beta,g_K,g_mu_eff,g_phi,p_E,p_E_star,p_Q,p_X,p_alpha,p_attack_angle_deg,p_b,p_branch,p_dilation_angle,p_eps_c,p_eps_max,p_eps_soft,p_flow_stress_ratio,p_friction_angle,p_h,p_mu_eff,p_n_points,p_nu,p_p_ref_MPa,p_phi,p_post_yield_slope_ratio,p_rho,p_sigma_y0,p_soft_drop,p_tau0,p_w
00011,CDP_drucker_prager_unified,glassy_pc,morris,1,1,X,-1,0,0,0.6666666667,0,0.3333333333,0.6666666667,0,1,12,0,0.1166666667,0.05,12.33333333,0.926,0.05,0.95,881.1635278,1039.230485,5.833333333,12,0.0475,30,20,1,0,0.05,2.5,0.05,0.926,12.33333333,0,0.05,60,0.39,140,0.95,0.1324006986,1.1e-09,50,0,0.35,0.1166666667
00012,CDP_drucker_prager_unified,glassy_pc,morris,1,2,w,-1,0,0,0,0,0.3333333333,0.6666666667,0,1,12,0,-0.35,0.05,12.33333333,0.926,0.05,0.95,881.1635278,1039.230485,0,12,0.0475,30,20,-1,0,0.05,2.5,0.05,0.926,12.33333333,0,0.05,60,0.39,140,0.95,0.3972020958,1.1e-09,50,17.5,0.35,-0.35
00013,CDP_drucker_prager_unified,glassy_pc,morris,1,3,mu_eff,1,0,0,0,0,0.3333333333,0.6666666667,0.6666666667,1,12,0,-0.35,0.05,12.33333333,0.926,0.3166666667,0.95,881.1635278,1039.230485,0,12,0.3008333333,30,20,-1,0,0.05,2.5,0.05,0.926,12.33333333,0,0.3166666667,60,0.39,140,0.95,0.3972020958,1.1e-09,50,17.5,2.216666667,-0.35
00014,CDP_drucker_prager_unified,glassy_pc,morris,1,4,beta,1,0,0,0,0,1,0.6666666667,0.6666666667,1,12,0,-0.35,0.05,35,0.926,0.3166666667,0.95,881.1635278,1039.230485,0,12,0.3008333333,30,20,-1,0,0.05,2.5,0.05,0.926,35,0,0.3166666667,60,0.39,140,0.95,0.3972020958,1.1e-09,50,17.5,2.216666667,-0.35
00015,CDP_drucker_prager_unified,glassy_pc,morris,1,5,K,-1,0,0,0,0,1,0,0.6666666667,1,12,0,-0.35,0.05,35,0.778,0.3166666667,0.95,881.1635278,1039.230485,0,12,0.3008333333,30,20,-1,0,0.05,2.5,0.05,0.778,35,0,0.3166666667,60,0.39,140,0.95,0.3972020958,1.1e-09,50,17.5,2.216666667,-0.35
00016,CDP_drucker_prager_unified,glassy_pc,morris,1,6,phi,-1,0,0,0,0,1,0,0.6666666667,0.3333333333,12,0,-0.35,0.05,35,0.778,0.3166666667,0.3166666667,881.1635278,1039.230485,0,12,0.1002777778,30,20,-1,0,0.05,2.5,0.05,0.778,35,0,0.3166666667,60,0.39,140,0.3166666667,0.3972020958,1.1e-09,50,17.5,30.29444444,-0.35
00017,CDP_drucker_prager_unified,glassy_pc,morris,1,7,eps_c,1,0,0,0,0.6666666667,1,0,0.6666666667,0.3333333333,12,0,-0.35,0.15,35,0.778,0.3166666667,0.3166666667,881.1635278,1039.230485,0,12,0.1002777778,30,6.666666667,-1,0,0.15,2.5,0.15,0.778,35,0,0.3166666667,60,0.39,140,0.3166666667,0.1324006986,1.1e-09,50,17.5,30.29444444,-0.35
00018,CDP_drucker_prager_unified,glassy_pc,morris,1,8,h,1,0,0.6666666667,0,0.6666666667,1,0,0.6666666667,0.3333333333,12,0.3,-0.35,0.15,35,0.778,0.3166666667,0.3166666667,881.1635278,1039.230485,0,12,0.1002777778,30,6.666666667,-1,0,0.15,2.5,0.15,0.778,35,0.3,0.3166666667,60,0.39,140,0.3166666667,0.1324006986,1.1e-09,50,17.5,30.29444444,-0.35
00019,CDP_drucker_prager_unified,glassy_pc,morris,2,0,,0,0.3333333333,1,1,1,0,1,0.6666666667,1,20.51971136,0.45,0.35,0.2,1,1,0.3166666667,0.95,1506.768438,1777.059132,17.5,20.51971136,0.3008333333,30,5,1,0,0.2,2.5,0.2,1,1,0.45,0.3166666667,60,0.39,140,0.95,0.05807129869,1.1e-09,50,0,2.216666667,0.35
00020,CDP_drucker_prager_unified,glassy_pc,morris,2,1,X,1,1,1,1,1,0,1,0.6666666667,1,60,0.45,0.35,0.2,1,1,0.3166666667,0.95,4405.817639,5196.152423,17.5,60,0.3008333333,30,5,1,0,0.2,2.5,0.2,1,1,0.45,0.3166666667,60,0.39,140,0.95,0.01986010479,1.1e-09,50,0,2.216666667,0.35
00021,CDP_drucker_prager_unified,glassy_pc,morris,2,2,phi,-1,1,1,1,1,0,1,0.6666666667,0.3333333333,60,0.45,0.35,0.2,1,1,0.3166666667,0.3166666667,4405.817639,5196.152423,17.5,60,0.1002777778,30,5,1,0,0.2,2.5,0.2,1,1,0.45,0.3166666667,60,0.39,140,0.3166666667,0.01986010479,1.1e-09,50,0,30.29444444,0.35
00022,CDP_drucker_prager_unified,glassy_pc,morris,2,3,w,-1,1,1,0.3333333333,1,0,1,0.6666666667,0.3333333333,60,0.45,-0.1166666667,0.2,1,1,0.3166666667,0.3166666667,4405.817639,5196.152423,0,60,0.1002777778,30,5,-1,0,0.2,2.5,0.2,1,1,0.45,0.3166666667,60,0.39,140,0.3166666667,0.00662003493,1.1e-09,50,5.833333333,30.29444444,-0.1166666667
00023,CDP_drucker_prager_unified,glassy_pc,morris,2,4,mu_eff,-1,1,1,0.3333333333,1,0,1,0,0.3333333333,60,0.45,-0.1166666667,0.2,1,1,0.05,0.3166666667,4405.817639,5196.152423,0,60,0.01583333333,30,5,-1,0,0.2,2.5,0.2,1,1,0.45,0.05,60,0.39,140,0.3166666667,0.00662003493,1.1e-09,50,5.833333333,4.783333333,-0.1166666667
00024,CDP_drucker_prager_unified,glassy_pc,morris,2,5,h,-1,1,0.3333333333,0.3333333333,1,0,1,0,0.3333333333,60,0.15,-0.1166666667,0.2,1,1,0.05,0.3166666667,4405.817639,5196.152423,0,60,0.01583333333,30,5,-1,0,0.2,2.5,0.2,1,1,0.15,0.05,60,0.39,140,0.3166666667,0.00662003493,1.1e-09,50,5.833333333,4.783333333,-0.1166666667
00025,CDP_drucker_prager_unified,glassy_pc,morris,2,6,K,-1,1,0.3333333333,0.3333333333,1,0,0.3333333333,0,0.3333333333,60,0.15,-0.1166666667,0.2,1,0.852,0.05,0.3166666667,4405.817639,5196.152423,0,60,0.01583333333,30,5,-1,0,0.2,2.5,0.2,0.852,1,0.15,0.05,60,0.39,140,0.3166666667,0.00662003493,1.1e-09,50,5.833333333,4.783333333,-0.1166666667
00026,CDP_drucker_prager_unified,glassy_pc,morris,2,7,eps_c,-1,1,0.3333333333,0.3333333333,0.3333333333,0,0.3333333333,0,0.3333333333,60,0.15,-0.1166666667,0.1,1,0.852,0.05,0.3166666667,4405.817639,5196.152423,0,60,0.01583333333,30,10,-1,0,0.1,2.5,0.1,0.852,1,0.15,0.05,60,0.39,140,0.3166666667,0.01324006986,1.1e-09,50,5.833333333,4.783333333,-0.1166666667
00027,CDP_drucker_prager_unified,glassy_pc,morris,2,8,beta,1,1,0.3333333333,0.3333333333,0.3333333333,0.6666666667,0.3333333333,0,0.3333333333,60,0.15,-0.1166666667,0.1,23.66666667,0.852,0.05,0.3166666667,4405.817639,5196.152423,0,60,0.01583333333,30,10,-1,0,0.1,2.5,0.1,0.852,23.66666667,0.15,0.05,60,0.39,140,0.3166666667,0.01324006986,1.1e-09,50,5.833333333,4.783333333,-0.1166666667
00028,CDP_drucker_prager_unified,glassy_pc,morris,3,0,,0,1,0.3333333333,0,0,0,0.6666666667,1,0.3333333333,60,0.15,-0.35,0.05,1,0.926,0.45,0.3166666667,4405.817639,5196.152423,0,60,0.1425,30,20,-1,0,0.05,2.5,0.05,0.926,1,0.15,0.45,60,0.39,140,0.3166666667,0.07944041916,1.1e-09,50,17.5,43.05,-0.35
00029,CDP_drucker_prager_unified,glassy_pc,morris,3,1,K,-1,1,0.3333333333,0,0,0,0,1,0.3333333333,60,0.15,-0.35,0.05,1,0.778,0.45,0.3166666667,4405.817639,5196.152423,0,60,0.1425,30,20,-1,0,0.05,2.5,0.05,0.778,1,0.15,0.45,60,0.39,140,0.3166666667,0.07944041916,1.1e-09,50,17.5,43.05,-0.35
00030,CDP_drucker_prager_unified,glassy_pc,morris,3,2,phi,1,1,0.3333333333,0,0,0,0,1,1,60,0.15,-0.35,0.05,1,0.778,0.45,0.95,4405.817639,5196.152423,0,60,0.4275,30,20,-1,0,0.05,2.5,0.05,0.778,1,0.15,0.45,60,0.39,140,0.95,0.07944041916,1.1e-09,50,17.5,3.15,-0.35
